role,num,note,x,z
sharp,20,A3,138.383,-501.213
sharp,21,B3,154.214,-511.753
sharp,22,C4,170.454,-526.182
sharp,23,D4,186.392,-538.600
sharp,24,E4,202.231,-550.991
sharp,25,F4,217.961,-562.844
sharp,26,G4,233.429,-572.760
sharp,27,A4,248.834,-582.683
sharp,28,B4,263.936,-590.675
sharp,29,C5,279.936,-606.433
sharp,30,D5,295.191,-616.374
sharp,31,E5,310.417,-626.321
sharp,32,F5,325.374,-634.330
sharp,33,G5,340.064,-640.403
sharp,34,A5,354.926,-648.424
sharp,35,B5,369.756,-656.449
sharp,36,C6,384.847,-666.411
sharp,37,D6,399.691,-674.435
sharp,38,E6,414.262,-680.522
sharp,39,F6,428.689,-685.446
sharp,40,G6,442.901,-688.820
sharp,41,A6,457.059,-692.202
sharp,42,B6,471.003,-694.429
sharp,43,C7,484.989,-697.437
sharp,44,D7,498.961,-700.448
sharp,45,E7,512.964,-703.848
sharp,46,F7,526.938,-707.251
sharp,47,G7,541.136,-712.597
